LOANSKEY,Original LTV,Sales Price,Original Appraisal,Mortgage Insurance Coverage,Mortgage Insurance Company,Lender Paid Flag,FICO at Origination,Documentation,Self Employed Flag,Product Category,Purpose,Property,Occupancy,Units,Scheduled Balance,Original Balance,Pledge Balance,Origination Date,First Pay Day,Maturity Date,Cut off Date,Gross Current Coupon Rate,Servicing Fee Rate,Master Servicing Fee Rate,LPMI Fee Rate,State,City,Zip,Interest Only Flag,Balloon Flag,Jumbo Flag,Original IO Term,Original Term,Original Amortization Term,Original PNI Paypent,Current PNI Payment,Times 30 Days Delinquent in last 12 months,Times 60 Days Delinquent,Times 90 Days Delinquent,Prepay Flag/Term,Lien Position,Originator,Primary Servicer,Deal ID,Pool ID
226513,75.00,748000.00,750000.00,0,No Insurance,N,666,Full Documentation,N,30 Year FRM,Purchase,Single Family Residence,Primary,1,561000.00,561000.00,0.00,20060630,20060801,20360701,20070501,6.875,0.250,0.000,0.000,Florida,Bradenton,34202,Y,N,Jumbo,120,360,240,3214.06,3214.06,1,1,0,0,1st Lien,Chase Mortgage,Chase Mortgage,JPMMT2007-S2,1
219887,80.00,593000.00,615000.00,0,No Insurance,N,726,Simply Signature,N,30 Year FRM,Purchase,Single Family Residence,Primary,1,469778.51,474400.00,0.00,20060525,20060701,20360601,20070501,6.750,0.250,0.000,0.000,Virginia,Fairfax,22030,N,N,Jumbo,0,360,360,3076.95,3076.95,1,0,0,0,1st Lien,Chase Mortgage,Chase Mortgage,JPMMT2007-S2,1
219674,80.00,735000.00,759000.00,0,No Insurance,N,730,Simply Signature,N,30 Year FRM,Purchase,Condo,Primary,1,582105.34,588000.00,0.00,20060522,20060701,20360601,20070501,6.625,0.250,0.000,0.000,New Jersey,Wildwood Crest Bo,08260,N,N,Jumbo,0,360,360,3765.03,3765.03,1,0,0,0,1st Lien,Chase Mortgage,Chase Mortgage,JPMMT2007-S2,1
219790,73.81,0.00,630000.00,0,No Insurance,N,732,Simply Signature,N,30 Year FRM,Rate-Term Refinance,Planned unit developments,Primary,1,459945.49,465000.00,0.00,20060508,20060701,20360601,20070501,6.375,0.250,0.000,0.000,Oregon,Hood River,97031,N,N,Jumbo,0,360,360,2901.00,2901.00,0,0,0,0,1st Lien,Chase Mortgage,Chase Mortgage,JPMMT2007-S2,1
220427,77.47,0.00,750000.00,0,No Insurance,N,721,Full Documentation,N,30 Year FRM,Rate-Term Refinance,Single Family Residence,Primary,1,574250.40,581000.00,0.00,20060425,20060601,20360501,20070501,6.500,0.250,0.000,0.000,Colorado,Basalt,81621,N,N,Jumbo,0,360,360,3672.32,3672.32,0,0,0,0,1st Lien,Chase Mortgage,Chase Mortgage,JPMMT2007-S2,1
255042,50.00,0.00,1800000.00,0,No Insurance,N,692,No,N,15 Year FRM,Cash-out Refinance,Single Family Residence,Primary,1,777485.32,900000.00,0.00,20050525,20050701,20200601,20070501,6.000,0.250,0.000,0.000,New Jersey,BEDMINSTER,07921,N,N,Jumbo,0,180,180,7594.71,7594.71,1,0,0,0,1st Lien,Chase Mortgage,Chase Mortgage,JPMMT2007-S2,2
266743,73.77,152500.00,155000.00,0,No Insurance,N,742,Full Documentation,N,30 Year FRM,Purchase,Condo,Secondary,1,112500.00,112500.00,0.00,20060915,20061101,20361001,20070501,6.625,0.250,0.000,0.000,Georgia,ATHENS,30606,Y,N,Conforming,120,360,240,621.09,621.09,1,0,0,0,1st Lien,Ohio Savings Bank,Chase Mortgage,JPMMT2007-S2,1
123016,80.00,382000.00,415000.00,0,No Insurance,N,672,Full Documentation,N,30 Year FRM,Purchase,Single Family Residence,Primary,1,305590.20,305600.00,0.00,20051122,20060101,20351201,20070501,6.000,0.250,0.000,0.000,Louisiana,Mandeville,70448,Y,N,Conforming,120,360,240,1528.00,1527.95,1,1,0,0,1st Lien,Weichert,Chase Mortgage,JPMMT2007-S2,1
230468,61.18,0.00,850000.00,0,No Insurance,N,787,Alternative,N,30 Year FRM,Rate-Term Refinance,Two- to four-family,Primary,2,520000.00,520000.00,0.00,20060614,20060801,20360701,20070501,6.875,0.250,0.000,0.000,District of Columbia,WASHINGTON,20009,Y,N,Conforming,120,360,240,2979.17,2979.17,1,0,0,0,1st Lien,Chevy Chase,Chevy Chase,JPMMT2007-S2,1
230463,80.00,949000.00,950000.00,0,No Insurance,N,735,Alternative,N,30 Year FRM,Purchase,Single Family Residence,Primary,1,759200.00,759200.00,0.00,20060629,20060801,20360701,20070501,6.875,0.250,0.000,0.000,Maryland,ROCKVILLE,20852,Y,N,Jumbo,120,360,240,4349.58,4349.58,1,1,0,0,1st Lien,Chevy Chase,Chevy Chase,JPMMT2007-S2,1
279843,80.00,0.00,490000.00,0,No Insurance,N,710,Full Asset/Stated Income,N,30 Year FRM,Cash-out Refinance,Planned unit developments,Primary,1,382517.42,392000.00,0.00,20050406,20050601,20350501,20070501,6.250,0.250,0.000,0.000,Arizona,CAVE CREEK,85331,N,N,Conforming,0,360,360,2413.62,2413.62,0,0,0,5,1st Lien,GreenPoint Mortgage,GreenPoint Mortgage,JPMMT2007-S2,1
279967,80.00,0.00,83000.00,0,No Insurance,N,645,Full Asset/Stated Income,N,30 Year FRM,Cash-out Refinance,Single Family Residence,Primary,1,66305.96,66400.00,0.00,20050919,20051101,20351001,20070501,6.125,0.250,0.000,0.000,Michigan,LANSING,48910,Y,N,Conforming,120,360,240,338.92,338.92,0,0,0,3,1st Lien,GreenPoint Mortgage,GreenPoint Mortgage,JPMMT2007-S2,1
280095,80.00,0.00,193000.00,0,No Insurance,N,650,Full Asset/Stated Income,N,30 Year FRM,Rate-Term Refinance,Single Family Residence,Primary,1,148249.80,154400.00,0.00,20050408,20050601,20350501,20070501,6.375,0.250,0.000,0.000,Colorado,AURORA,80013,N,N,Conforming,0,360,360,963.26,963.26,0,0,0,5,1st Lien,GreenPoint Mortgage,GreenPoint Mortgage,JPMMT2007-S2,1
279738,85.52,0.00,213000.00,25,Mtge Guaranty Insurance Corp.,N,682,Full Asset/Stated Income,N,15 Year FRM,Rate-Term Refinance,Single Family Residence,Primary,1,166442.41,182162.00,0.00,20050314,20050501,20200401,20070501,6.750,0.250,0.000,0.000,Texas,DALLAS,75243,N,N,Conforming,0,180,180,1611.97,1611.97,0,0,0,5,1st Lien,GreenPoint Mortgage,GreenPoint Mortgage,JPMMT2007-S2,2
279797,80.00,0.00,81000.00,0,No Insurance,N,703,Full Asset/Stated Income,N,15 Year FRM,Cash-out Refinance,Single Family Residence,Investor,1,59286.70,64800.00,0.00,20050420,20050601,20200501,20070501,6.375,0.250,0.000,0.000,Texas,DALLAS,75208,N,N,Conforming,0,180,180,560.04,560.04,0,0,0,5,1st Lien,GreenPoint Mortgage,GreenPoint Mortgage,JPMMT2007-S2,2
279818,90.00,40000.00,40000.00,25,PMI,N,703,Full Documentation,N,15 Year FRM,Purchase,Single Family Residence,Investor,1,33026.48,36000.00,0.00,20050413,20050601,20200501,20070501,6.750,0.250,0.000,0.000,Michigan,DETROIT,48238,N,N,Conforming,0,180,180,318.57,318.57,0,0,0,3,1st Lien,GreenPoint Mortgage,GreenPoint Mortgage,JPMMT2007-S2,2
279819,80.00,174000.00,174000.00,0,No Insurance,N,683,Full Asset/Stated Income,N,15 Year FRM,Purchase,Two- to four-family,Investor,3,127591.81,139200.00,0.00,20050415,20050601,20200501,20070501,6.625,0.250,0.000,0.000,Tennessee,MURFREESBORO,37130,N,N,Conforming,0,180,180,1222.17,1222.17,0,0,0,5,1st Lien,GreenPoint Mortgage,GreenPoint Mortgage,JPMMT2007-S2,2
279852,80.00,0.00,102000.00,0,No Insurance,N,685,Full Asset/Stated Income,N,15 Year FRM,Cash-out Refinance,Single Family Residence,Investor,1,74729.75,81600.00,0.00,20050419,20050601,20200501,20070501,6.500,0.250,0.000,0.000,Texas,BENBROOK,76126,N,N,Conforming,0,180,180,710.83,710.83,0,0,0,5,1st Lien,GreenPoint Mortgage,GreenPoint Mortgage,JPMMT2007-S2,2
279864,75.12,0.00,532500.00,0,No Insurance,N,702,Stated Income/Stated Asset,N,15 Year FRM,Cash-out Refinance,Single Family Residence,Primary,1,371994.76,400000.00,0.00,20051118,20060101,20201201,20070501,5.750,0.250,0.000,0.000,California,TURLOCK,95382,N,N,Conforming,0,180,180,3321.65,3321.65,0,0,0,3,1st Lien,GreenPoint Mortgage,GreenPoint Mortgage,JPMMT2007-S2,2
279890,90.00,40000.00,40000.00,25,PMI,N,703,Full Documentation,N,15 Year FRM,Purchase,Single Family Residence,Investor,1,33016.97,36000.00,0.00,20050413,20050601,20200501,20070501,6.750,0.250,0.000,0.000,Michigan,DETROIT,48238,N,N,Conforming,0,180,180,318.57,318.57,1,0,0,3,1st Lien,GreenPoint Mortgage,GreenPoint Mortgage,JPMMT2007-S2,2
279944,80.00,0.00,41000.00,0,No Insurance,N,653,Full Asset/Stated Income,N,15 Year FRM,Cash-out Refinance,Single Family Residence,Investor,1,30854.04,32800.00,0.00,20051130,20060101,20201201,20070501,6.750,0.250,0.000,0.000,Ohio,ASHTABULA,44004,N,N,Conforming,0,180,180,290.26,290.26,0,0,0,5,1st Lien,GreenPoint Mortgage,GreenPoint Mortgage,JPMMT2007-S2,2
279999,90.00,35000.00,40000.00,25,PMI,N,703,Full Documentation,N,15 Year FRM,Purchase,Single Family Residence,Investor,1,28641.35,31500.00,0.00,20050413,20050601,20200501,20070501,6.750,0.250,0.000,0.000,Michigan,DETROIT,48238,N,N,Conforming,0,180,180,278.75,278.75,0,0,0,3,1st Lien,GreenPoint Mortgage,GreenPoint Mortgage,JPMMT2007-S2,2
280040,90.00,36700.00,40000.00,25,Mtge Guaranty Insurance Corp.,N,710,Full Documentation,N,15 Year FRM,Purchase,Single Family Residence,Investor,1,28245.50,33030.00,0.00,20050330,20050501,20200401,20070501,6.625,0.250,0.000,0.000,Texas,GREENVILLE,75401,N,N,Conforming,0,180,180,290.00,290.00,0,0,0,3,1st Lien,GreenPoint Mortgage,GreenPoint Mortgage,JPMMT2007-S2,2
280064,80.00,285000.00,286000.00,0,No Insurance,N,697,Full Documentation,N,15 Year FRM,Purchase,Planned unit developments,Investor,1,207973.74,228000.00,0.00,20050414,20050601,20200501,20070501,6.375,0.250,0.000,0.000,Florida,ORLANDO,32819,N,N,Conforming,0,180,180,1970.50,1970.50,0,0,0,5,1st Lien,GreenPoint Mortgage,GreenPoint Mortgage,JPMMT2007-S2,2
241950,80.00,0.00,560000.00,0,No Insurance,N,759,Full Documentation,N,30 Year FRM,Rate-Term Refinance,Single Family Residence,Primary,1,443341.34,448000.00,0.00,20060601,20060801,20360701,20070501,6.625,0.250,0.000,0.000,California,WINTERS,95694,N,N,Jumbo,0,360,360,2868.59,2868.59,1,0,0,3,1st Lien,Indymac Bank,Indymac Bank,JPMMT2007-S2,1
221272,75.56,2250000.00,2250000.00,0,No Insurance,N,724,Full Documentation,N,10 Year FRM,Purchase,Condo,Secondary,1,1594914.38,1700000.00,350000.00,20060623,20060801,20160701,20070501,6.190,0.250,0.000,0.000,Florida,SUNNY ISLES,33160,N,N,Jumbo,0,120,120,19036.10,19036.10,0,0,0,0,1st Lien,PHH,PHH,JPMMT2007-S2,2
48821,80.00,0.00,510000.00,0,No Insurance,N,713,Full Asset/Stated Income,N,30 Year FRM,Cash-out Refinance,Planned unit developments,Primary,1,396052.97,408000.00,0.00,20050131,20050301,20350201,20070501,6.000,0.250,0.000,0.000,Louisiana,Bossier City,71111,N,N,Conforming,0,360,360,2446.17,2446.17,0,0,0,0,1st Lien,PHH,PHH,JPMMT2007-S2,1
149009,77.42,155000.00,165000.00,0,No Insurance,N,711,Full Asset/Stated Income,N,15 Year FRM,Purchase,Cooperative Units,Primary,1,110887.50,120000.00,0.00,20050728,20050901,20200801,20070501,6.000,0.250,0.000,0.000,New York,Brooklyn,11220,N,N,Conforming,0,180,180,1012.63,1012.63,0,0,0,0,1st Lien,PHH,PHH,JPMMT2007-S2,2
290497,32.50,0.00,400000.00,0,No Insurance,N,640,No Ratio,N,15 Year FRM,Cash-out Refinance,Single Family Residence,Primary,1,123921.03,130000.00,0.00,20061017,20061201,20211101,20070501,6.375,0.250,0.000,0.000,Florida,DAYTONA BEACH,32118,N,N,Conforming,0,180,180,1123.53,1123.53,1,0,0,0,1st Lien,Suntrust,Suntrust,JPMMT2007-S2,2
290520,33.33,0.00,2775000.00,0,No Insurance,N,691,No Income Verifier,N,15 Year FRM,Cash-out Refinance,Single Family Residence,Primary,1,908768.33,925000.00,0.00,20061127,20070101,20211201,20070501,5.875,0.250,0.000,0.000,Alabama,ORANGE BEACH,36561,N,N,Jumbo,0,180,180,7743.35,7743.35,0,0,0,0,1st Lien,Suntrust,Suntrust,JPMMT2007-S2,2
290596,41.19,0.00,1396000.00,0,No Insurance,N,695,No Income Verifier,N,15 Year FRM,Cash-out Refinance,Single Family Residence,Primary,1,560460.48,575000.00,0.00,20061006,20061201,20211101,20070501,6.250,0.250,0.000,0.000,Florida,TAMPA,33606,N,N,Jumbo,0,180,180,4930.19,4930.19,0,0,0,0,1st Lien,Suntrust,Suntrust,JPMMT2007-S2,2
221058,80.00,670000.00,670000.00,0,No Insurance,N,730,Stated Documentation,N,30 Year FRM,Purchase,Single Family Residence,Primary,1,523667.46,536000.00,0.00,20050714,20050901,20350801,20070501,5.750,0.250,0.000,0.000,Virginia,FAIRFAX,22030,N,N,Jumbo,0,360,360,3127.95,3127.95,0,0,0,0,1st Lien,US Central,US Central,JPMMT2007-S2,1
221048,58.43,0.00,890000.00,0,No Insurance,N,765,Stated Documentation,N,30 Year FRM,Rate-Term Refinance,Single Family Residence,Primary,1,505497.64,520000.00,0.00,20050714,20050901,20350801,20070501,5.375,0.250,0.000,0.000,Virginia,MCLEAN,22101,N,N,Jumbo,0,360,360,2911.85,2911.85,0,0,0,0,1st Lien,US Central,US Central,JPMMT2007-S2,1
221057,80.00,660000.00,675000.00,0,No Insurance,N,676,Stated Documentation,N,30 Year FRM,Purchase,Single Family Residence,Secondary,1,527934.83,528000.00,0.00,20050718,20050901,20350801,20070501,5.750,0.250,0.000,0.000,Arizona,SCOTTSDALE,85262,Y,N,Jumbo,120,360,240,2530.00,2529.79,0,0,0,0,1st Lien,US Central,US Central,JPMMT2007-S2,1
221061,72.69,732407.00,779000.00,0,No Insurance,N,741,Stated Documentation,N,30 Year FRM,Purchase,Single Family Residence,Primary,1,532407.00,532407.00,0.00,20050718,20050901,20350801,20070501,5.875,0.250,0.000,0.000,Virginia,ASHBURN,20148,Y,N,Jumbo,120,360,240,2606.58,2606.58,0,0,0,0,1st Lien,US Central,US Central,JPMMT2007-S2,1
309682,80.00,0.00,1020000.00,0,No Insurance,N,766,LOW,N,15 Year FRM,Rate-Term Refinance,Planned unit developments,Primary,1,785226.74,816000.00,0.00,20060621,20060801,20210701,20070501,6.250,0.250,0.000,0.000,Utah,OGDEN,84403,N,N,Jumbo,0,180,180,6996.57,6996.57,0,0,0,0,1st Lien,Washington Mutual,Washington Mutual,JPMMT2007-S2,2
309683,80.00,732930.00,780000.00,0,No Insurance,N,688,LOW,N,15 Year FRM,Purchase,Condo,Primary,1,570167.29,586344.00,0.00,20060824,20061001,20210901,20070501,6.375,0.250,0.000,0.000,New Jersey,NEW BRUNSWICK,08901,N,N,Jumbo,0,180,180,5067.48,5067.48,0,0,0,0,1st Lien,Washington Mutual,Washington Mutual,JPMMT2007-S2,2
244457,53.61,1212500.00,1224450.00,0,No Insurance,N,781,Full Documentation,N,30 Year FRM,Purchase,Cooperative Units,Primary,1,646111.11,650000.00,0.00,20060821,20061001,20360901,20070501,6.875,0.250,0.000,0.000,New York,NEW YORK,10024,N,N,Conforming,0,360,360,4270.04,4270.04,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,1
244101,28.45,0.00,290000.00,0,No Insurance,N,772,Full Documentation,N,15 Year FRM,Rate-Term Refinance,Single Family Residence,Primary,1,80214.06,82500.00,0.00,20060821,20061001,20210901,20070501,6.125,0.250,0.000,0.000,Georgia,GUYTON,31312,N,N,Conforming,0,180,180,701.77,701.77,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,2
244102,24.00,0.00,250000.00,0,No Insurance,N,798,Full Documentation,N,15 Year FRM,Cash-out Refinance,Single Family Residence,Primary,1,58578.92,60000.00,0.00,20060815,20061001,20210901,20070501,6.375,0.250,0.000,0.000,California,LANCASTER,93534,N,N,Conforming,0,180,180,518.55,518.55,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,2
244103,74.40,0.00,250000.00,0,No Insurance,N,759,Full Asset/Stated Income,N,15 Year FRM,Rate-Term Refinance,Single Family Residence,Primary,1,179540.82,186000.00,0.00,20060828,20061001,20210901,20070501,6.375,0.250,0.000,0.000,Minnesota,ANOKA,55303,N,N,Conforming,0,180,180,1607.51,1607.51,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,2
244104,80.00,198000.00,195000.00,0,No Insurance,N,819,Full Asset/Stated Income,N,15 Year FRM,Purchase,Planned unit developments,Primary,1,151853.16,156000.00,0.00,20060815,20061001,20210901,20070501,6.625,0.250,0.000,0.000,Arizona,TUCSON,85704,N,N,Conforming,0,180,180,1369.67,1369.67,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,2
244105,52.49,0.00,362000.00,0,No Insurance,N,767,Full Documentation,N,15 Year FRM,Cash-out Refinance,Single Family Residence,Primary,1,183647.62,190000.00,0.00,20060829,20061001,20210901,20070501,6.250,0.250,0.000,0.000,Maryland,COLORA,21917,N,N,Conforming,0,180,180,1629.10,1629.10,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,2
244112,72.84,165700.00,177000.00,0,No Insurance,N,757,Full Asset/Stated Income,N,15 Year FRM,Purchase,Single Family Residence,Primary,1,117781.22,120700.00,0.00,20060829,20061001,20210901,20070501,6.125,0.250,0.000,0.000,South Carolina,INMAN,29349,N,N,Conforming,0,180,180,1026.70,1026.70,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,2
244113,81.45,0.00,80000.00,12,General Electric,N,777,Full Documentation,N,15 Year FRM,Cash-out Refinance,Single Family Residence,Primary,1,63627.36,65162.00,0.00,20060825,20061001,20210901,20070501,6.500,0.250,0.000,0.000,Kentucky,ELSMERE,41018,N,N,Conforming,0,180,180,567.63,567.63,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,2
244121,21.58,0.00,285000.00,0,No Insurance,N,798,Full Documentation,N,15 Year FRM,Cash-out Refinance,Single Family Residence,Primary,1,60241.68,61500.00,0.00,20060831,20061101,20211001,20070501,6.250,0.250,0.000,0.000,New Hampshire,MERRIMACK,03054,N,N,Conforming,0,180,180,527.32,527.32,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,2
244123,80.00,0.00,370000.00,0,No Insurance,N,770,Full Asset/Stated Income,N,15 Year FRM,Cash-out Refinance,Single Family Residence,Primary,1,239560.85,296000.00,0.00,20060831,20061001,20210901,20070501,6.375,0.250,0.000,0.000,Michigan,STERLING HEIGHTS,48314,N,N,Conforming,0,180,180,2558.18,2558.18,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,2
244125,42.17,0.00,332000.00,0,No Insurance,N,790,Full Documentation,N,15 Year FRM,Rate-Term Refinance,Planned unit developments,Primary,1,135903.61,140000.00,0.00,20060908,20061101,20211001,20070501,6.250,0.250,0.000,0.000,Florida,TAMPA,33626,N,N,Conforming,0,180,180,1200.39,1200.39,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,2
244132,68.45,0.00,355000.00,0,No Insurance,N,698,Full Asset/Stated Income,N,15 Year FRM,Cash-out Refinance,Condo,Primary,1,237976.02,243000.00,0.00,20060913,20061101,20211001,20070501,6.125,0.250,0.000,0.000,Maryland,PIKESVILLE,21208,N,N,Conforming,0,180,180,2067.02,2067.02,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,2
253521,55.16,0.00,237500.00,0,No Insurance,N,784,Full Documentation,N,15 Year FRM,Cash-out Refinance,Single Family Residence,Primary,1,127897.28,131000.00,0.00,20060821,20061001,20210901,20070501,6.375,0.250,0.000,0.000,Washington,SPOKANE VALLEY,99216,N,N,Conforming,0,180,180,1132.17,1132.17,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,2
253522,56.34,0.00,355000.00,0,No Insurance,N,816,Full Documentation,N,15 Year FRM,Cash-out Refinance,Condo,Primary,1,193781.47,200000.00,0.00,20060829,20061001,20210901,20070501,6.125,0.250,0.000,0.000,California,MORENO VALLEY,92551,N,N,Conforming,0,180,180,1701.25,1701.25,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,2
253523,42.37,0.00,590000.00,0,No Insurance,N,707,Full Asset/Stated Income,Y,15 Year FRM,Cash-out Refinance,Single Family Residence,Primary,1,143718.51,250000.00,0.00,20060914,20061101,20211001,20070501,6.250,0.250,0.000,0.000,Maryland,ELLICOTT CITY,21042,N,N,Conforming,0,180,180,2143.56,2143.56,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,2
253525,73.88,0.00,245000.00,0,No Insurance,N,790,Full Documentation,N,15 Year FRM,Cash-out Refinance,Single Family Residence,Primary,1,177296.70,181000.00,0.00,20060920,20061101,20211001,20070501,6.250,0.250,0.000,0.000,Minnesota,CHAMPLIN,55316,N,N,Conforming,0,180,180,1551.94,1551.94,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,2
253531,57.69,0.00,260000.00,0,No Insurance,N,759,Full Documentation,N,15 Year FRM,Cash-out Refinance,Single Family Residence,Primary,1,146833.63,150000.00,0.00,20060920,20061101,20211001,20070501,5.875,0.250,0.000,0.000,California,TULARE,93274,N,N,Conforming,0,180,180,1255.68,1255.68,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,2
253533,76.67,0.00,300000.00,0,No Insurance,N,754,Full Asset/Stated Income,Y,15 Year FRM,Cash-out Refinance,Single Family Residence,Primary,1,224050.82,230000.00,0.00,20060919,20061101,20211001,20070501,5.875,0.250,0.000,0.000,South Carolina,PIEDMONT,29673,N,N,Conforming,0,180,180,1925.37,1925.37,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,2
253538,37.14,360000.00,350000.00,0,No Insurance,N,784,Full Documentation,N,15 Year FRM,Purchase,Condo,Secondary,1,127812.26,130000.00,0.00,20061005,20061201,20211101,20070501,6.375,0.250,0.000,0.000,Hawaii,HILO,96720,N,N,Conforming,0,180,180,1123.53,1123.53,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,2
253543,10.87,0.00,1380000.00,0,No Insurance,N,738,Full Asset/Stated Income,N,15 Year FRM,Rate-Term Refinance,Single Family Residence,Primary,1,134799.25,150000.00,0.00,20061004,20061201,20211101,20070501,6.500,0.250,0.000,0.000,Florida,NORTH MIAMI,33181,N,N,Conforming,0,180,180,1306.66,1306.66,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,2
253530,80.00,170000.00,176000.00,0,No Insurance,N,804,Full Asset/Stated Income,N,15 Year FRM,Purchase,Single Family Residence,Secondary,1,131576.24,136000.00,0.00,20060918,20061101,20211001,20070501,6.750,0.250,0.000,0.000,Colorado,VILLA GROVE,81155,N,N,Conforming,0,180,180,1203.48,1203.48,0,0,0,0,1st Lien,American Home,Chase Mortgage,JPMMT2007-S2,2
286596,80.00,1159500.00,1165000.00,0,No Insurance,N,791,Full Documentation,Y,30 Year FRM,Purchase,Single Family Residence,Secondary,1,921470.22,927600.00,0.00,20060913,20061101,20361001,20070501,6.625,0.250,0.000,0.000,Texas,AUSTIN,78703,N,N,Jumbo,0,360,360,5939.52,5939.52,0,0,0,0,1st Lien,Ohio Savings Bank,Chase Mortgage,JPMMT2007-S2,1
286599,68.55,795000.00,795000.00,0,No Insurance,N,801,Full Documentation,N,30 Year FRM,Purchase,Single Family Residence,Primary,1,542074.82,545000.00,0.00,20060922,20061101,20361001,20070501,6.625,0.250,0.000,0.000,California,CASTRO VALLEY,94546,N,N,Jumbo,0,360,360,3489.70,3489.70,0,0,0,0,1st Lien,Ohio Savings Bank,Chase Mortgage,JPMMT2007-S2,1
286600,80.00,715000.00,720000.00,0,No Insurance,N,792,Full Documentation,N,30 Year FRM,Purchase,Single Family Residence,Primary,1,568855.10,572000.00,0.00,20060901,20061101,20361001,20070501,6.500,0.250,0.000,0.000,Washington,SEATTLE,98125,N,N,Jumbo,0,360,360,3615.43,3615.43,0,0,0,0,1st Lien,Ohio Savings Bank,Chase Mortgage,JPMMT2007-S2,1
286603,66.01,0.00,715000.00,0,No Insurance,N,696,No Income Verifier,Y,30 Year FRM,Cash-out Refinance,Single Family Residence,Primary,1,467514.51,472000.00,0.00,20060927,20061101,20361001,20070501,6.625,0.250,0.000,0.000,California,AGOURA HILLS,91301,N,N,Jumbo,0,360,360,3022.27,3022.27,0,0,0,0,1st Lien,Ohio Savings Bank,Chase Mortgage,JPMMT2007-S2,1
286605,72.59,0.00,664000.00,0,No Insurance,N,766,Full Documentation,Y,30 Year FRM,Cash-out Refinance,Single Family Residence,Secondary,1,459442.59,482000.00,0.00,20061030,20061201,20361101,20070501,6.500,0.250,0.000,0.000,Alabama,GULF SHORES,36542,N,N,Jumbo,0,360,360,3046.57,3046.57,0,0,0,0,1st Lien,Ohio Savings Bank,Chase Mortgage,JPMMT2007-S2,1
286607,80.00,589500.00,600000.00,0,No Insurance,N,801,Full Documentation,N,30 Year FRM,Purchase,Single Family Residence,Primary,1,469129.25,471600.00,0.00,20061024,20061201,20361101,20070501,6.750,0.250,0.000,0.000,New Hampshire,BRENTWOOD,03833,N,N,Jumbo,0,360,360,3058.79,3058.79,0,0,0,0,1st Lien,Ohio Savings Bank,Chase Mortgage,JPMMT2007-S2,1
286610,59.21,0.00,1233000.00,0,No Insurance,N,769,No Income Verifier,Y,30 Year FRM,Cash-out Refinance,Single Family Residence,Primary,1,720661.07,730000.00,0.00,20061016,20061201,20361101,20070501,6.250,0.250,0.000,0.000,California,APTOS,95003,N,N,Jumbo,0,360,360,4494.74,4494.74,0,0,0,0,1st Lien,Ohio Savings Bank,Chase Mortgage,JPMMT2007-S2,1
286617,69.99,0.00,693000.00,0,No Insurance,N,717,No Income Verifier,N,30 Year FRM,Cash-out Refinance,Planned unit developments,Primary,1,482729.98,485000.00,0.00,20061030,20061201,20361101,20070501,6.375,0.250,0.000,0.000,Florida,NAPLES,34109,N,N,Jumbo,0,360,360,3025.77,3025.77,0,0,0,0,1st Lien,Ohio Savings Bank,Chase Mortgage,JPMMT2007-S2,1
286619,60.41,0.00,2200000.00,0,No Insurance,N,800,No Income Verifier,Y,30 Year FRM,Rate-Term Refinance,Single Family Residence,Primary,1,1321792.50,1329100.00,0.00,20061019,20061201,20361101,20070501,6.500,0.250,0.000,0.000,Washington,KENT,98042,N,N,Jumbo,0,360,360,8400.82,8400.82,0,0,0,0,1st Lien,Ohio Savings Bank,Chase Mortgage,JPMMT2007-S2,1
286623,80.00,590000.00,650000.00,0,No Insurance,N,766,Full Documentation,Y,30 Year FRM,Purchase,Condo,Secondary,1,469341.90,472000.00,0.00,20061031,20061201,20361101,20070501,6.375,0.250,0.000,0.000,Alabama,ORANGE BEACH,36561,N,N,Jumbo,0,360,360,2944.67,2944.67,0,0,0,0,1st Lien,Ohio Savings Bank,Chase Mortgage,JPMMT2007-S2,1
